중분류,업종코드
백화점/할인점,4001
백화점/할인점,4002
백화점/할인점,4004
백화점/할인점,4111
편의점/마켓,4010
편의점/마켓,4020
편의점/마켓,4021
편의점/마켓,4030
편의점/마켓,4031
편의점/마켓,4040
편의점/마켓,4051
편의점/마켓,4130
편의점/마켓,4098
편의점/마켓,4099
전자제품,3101
전자제품,3102
전자제품,3199
전자제품,5201
의류/패션잡화,4201
의류/패션잡화,4202
의류/패션잡화,4203
의류/패션잡화,4205
의류/패션잡화,4204
의류/패션잡화,4206
의류/패션잡화,4210
의류/패션잡화,4299
의류/패션잡화,4301
의류/패션잡화,4399
의류/패션잡화,4302
의류/패션잡화,4303
의류/패션잡화,4304
의류/패션잡화,4401
의류/패션잡화,4410
의류/패션잡화,4411
의류/패션잡화,4414
의류/패션잡화,4413
의류/패션잡화,7104
의류/패션잡화,7105
의류/패션잡화,4420
의류/패션잡화,4421
의류/패션잡화,4430
의류/패션잡화,4499
인터넷/홈쇼핑,4070
인터넷/홈쇼핑,4072
인터넷/홈쇼핑,4077
인터넷/홈쇼핑,4078
인터넷/홈쇼핑,4076
인터넷/홈쇼핑,4061
인터넷/홈쇼핑,9151
한식,8001
한식,8501
한식,8002
한식,8502
한식,8003
한식,8503
한식,8102
한식,8202
한식,8201
한식,8103
한식,8203
양식,8006
양식,8506
양식,8106
양식,8110
양식,8206
양식,8210
양식,8010
양식,8510
일식,8004
일식,8504
일식,8104
일식,8204
중식,8005
중식,8505
중식,8105
중식,8205
제과점,8301
제과점,8305
문화/취미,2201
문화/취미,2203
문화/취미,2202
문화/취미,2204
문화/취미,2210
문화/취미,2215
문화/취미,2220
문화/취미,2230
문화/취미,2240
문화/취미,2010
문화/취미,2011
문화/취미,2020
문화/취미,2021
문화/취미,3401
문화/취미,3402
문화/취미,2029
문화/취미,2299
생활,3001
생활,3002
생활,3099
생활,5202
생활,5210
생활,5211
생활,9149
생활,9150
생활,9152
생활,9134
생활,9005
생활,9010
생활,3201
생활,3202
생활,3299
생활,9202
생활,9203
생활,3210
생활,4050
생활,8310
생활,8320
생활,8399
생활,8302
생활,4101
생활,8401
생활,8402
생활,8499
생활,9140
생활,9141
생활,9001
생활,9501
생활,9510
생활,4060
생활,4062
생활,9154
생활,9160
생활,6201
생활,6210
생활,6299
생활,7001
생활,7010
생활,7011
생활,7012
생활,7013
생활,7014
생활,7015
생활,7016
생활,7017
생활,7018
생활,7020
생활,7021
생활,7022
생활,7029
생활,7030
생활,7031
생활,7032
생활,7040
생활,7041
생활,7042
생활,7043
생활,7050
생활,7060
생활,7099
생활,7112
생활,9204
생활,9299
생활,9153
생활,9306
생활,9501
생활,9510
생활,4083
생활,4084
생활,4080
생활,4081
생활,3303
생활,9003
생활,9004
뷰티,7102
뷰티,7103
뷰티,7110
뷰티,7101
뷰티,7111
교육,5001
교육,5002
교육,5099
교육,9304
교육,5010
교육,5030
교육,5050
교육,3499
교육,9305
교육,5101
교육,5102
교육,5103
교육,5104
교육,5040
교육,5020
교육,5199
교육,5120
교육,5121
교육,5122
교육,5129
레저,2001
레저,2002
레저,2101
레저,2102
레저,2110
레저,2111
레저,2112
레저,2113
레저,2114
레저,2120
레저,2199
레저,9301
레저,9201
레저,2121
레저,2130
레저,2003
레저,2103
여행/숙박,1001
여행/숙박,1002
여행/숙박,1003
여행/숙박,1010
여행/숙박,1020
여행/숙박,1021
여행/숙박,1101
여행/숙박,1110
여행/숙박,1120
여행/숙박,1121
여행/숙박,1122
여행/숙박,1130
여행/숙박,1123
여행/숙박,1124
자동차/에너지,6001
자동차/에너지,6002
자동차/에너지,6003
자동차/에너지,6004
자동차/에너지,6005
자동차/에너지,6101
자동차/에너지,6102
자동차/에너지,6110
자동차/에너지,6111
자동차/에너지,6120
자동차/에너지,6130
자동차/에너지,6140
자동차/에너지,6150
자동차/에너지,6199
자동차/에너지,9302
자동차/에너지,9170
자동차/에너지,3301
자동차/에너지,3302
자동차/에너지,3304
자동차/에너지,3305
자동차/에너지,3306
자동차/에너지,3307
자동차/에너지,3308
자동차/에너지,3309
자동차/에너지,3310
자동차/에너지,3399
기타,4110
기타,4120
기타,4121
기타,4122
기타,4199
기타,5299
기타,9099
기타,6099
기타,9020
기타,9101
기타,9110
기타,9120
기타,9130
기타,9131
기타,9132
기타,9133
기타,9180
기타,9199
기타,9998
기타,9999
기타,4140
기타,5280
기타,9303
기타,9395
기타,9396
기타,9397
기타,9398
기타,9399
기타,9601
기타,9602
기타,9699
기타,9901
기타,9910
기타,9911
기타,9993
기타,9995
기타,9996
기타,9121
기타,9135
기타,9002
기타,6112
기타,8211
기타,8212
기타,8213
기타,8511
기타,8512
기타,8513
기타,8111
기타,8112
기타,8113
기타,8011
기타,8012
기타,8013
기타,8101
기타,7120
기타,7121
기타,7199
편의점/마켓,8021
교육,5191
생활,9210
자동차/에너지,3311
자동차/에너지,3313
교육,5105
기타,9006
문화/취미,2250
의류/패션잡화,4208
문화/취미,4412
생활,7044
기타,2251
한식,8031
교육,5192
편의점/마켓,6103
편의점/마켓,8303
의류/패션잡화,4209
교육,5106
기타,5003
기타,4481
